,Episode Number,Title,Plot,Release Date,Average Rating
291,292,Oshiro de Mochimaki Dai Race! Akai Hana no Inbou,"The Great Mochimaki Race, a festival about who can catch a Mochimaki with a great treasure inside, is running, but Buggy has a conspiracy for stealing the treasure before the festival starts.","Sun, Jan 7, 2007",5.7
292,293,Awa Tsukai Kalifa! Nami ni Semaru Sekken no Wana,"Chopper in his Monster Point easily defeats Kumadori. Nami has trouble with Kalifa's Devil fruit. Meanwhile, Luffy finally catches up with Spandam, Rob Lucci, and Nico Robin.","Sun, Jan 14, 2007",7.9
293,294, Hibikiwataru Kyouhou! Hatsudou Buster Call,"While bragging to Nico Robin, Spandam accidentally invokes the Buster Call. Meanwhile, the rematch between Monkey D. Luffy and Rob Lucci finally begins.","Sun, Jan 21, 2007",8.0
294,295,Gonin no Nami? Hangeki wa Shinkirou to Tomo ni!,"As the battle between the Straw Hats and CP9 rages on. Nami finds a weakness of Kalifa's ability: water. After returning herself to normal, she then uses her Perfect Clima-tact to duplicate herself by five.","Sun, Jan 28, 2007",7.7
295,296,Nami no Ketsudan! Bousou Chopper o Ute!,"Nami ends her fight with Kalifa. Franky shoots Chopper down into the sea, while Zoro and Sogeking are set free.","Sun, Feb 4, 2007",8.1
296,297,Kariudo Sanji Toujou? Usotsuki Ookami ni Okuru Banka,"Sogeking gets beaten up by Jabra and is saved at the last second by Sanji, who then fights Jabra. While Zoro and Kaku continue their fight, Franky tries to catch up with Robin.","Sun, Feb 11, 2007",8.1
297,298, Shakunetsu no Keri! Sanji Ashiwaza no Full Course,"Sanji seems to be at a disadvantage due to the active use of Tekkai Kenpo by Jabra, however he uses various kicks from a newly introduced technique called ""Diable Jambe"", which he uses to finish off Jabra.","Sun, Feb 25, 2007",8.5
298,299,Hakujin no Moushuu! Zoro Tai Kaku Kyouryoku Zangeki Taiketsu,The battle between Zoro and Kaku rages on. Meanwhile Franky finally reaches Luffy.,"Sun, Mar 4, 2007",8.2
299,300,Kishin Zoro! Kihaku ga Miseta Asura no Keshin,"Zoro finally defeats Kaku with his new technique, Asura, meanwhile Luffy activates Gear Second in his fight against Rob Lucci, who in turn transforms into his half-leopard form.","Sun, Mar 11, 2007",9.2
300,301,Spandam Kyougaku! Shihou no Tou ni Tatsu Eiyuu,"Robin finds out that Spandam is the son of Spandine, the man who invoked the Buster Call on Ohara. Sogeking snipes Spandam with his Kabuto and saves Robin, while Franky releases her Seastone handcuffs.","Sun, Mar 18, 2007",9.2
301,302,Robin Kaihou! Luffy Tai Lucci Choujou Kessen,"Nico Robin and Franky take down some Marines, and while the fight between Luffy and Rob Lucci continues, the Gear Second effect finishes.","Sun, Mar 25, 2007",8.1
302,303,Hannin wa Luffy Oyabun? Kieta Oozakura o Oe,"The sakura are blooming and a festival is to be celebrated the next day. But, Ninjin is sick and cannot go to the festival. That makes Chopper and Luffy feel really sad.","Sun, Apr 1, 2007",5.9
303,304,Katenakya Daremo Mamorenai! Gear Third Shidou,"The battle between Lucci and Luffy rages on. As Luffy's anger grows, he activates a new technique, Gear Third, in the battle against Lucci.","Sun, Apr 8, 2007",9.0
304,305,Senritsu no Kako! Yami no Seigi to Rob Lucci,A closer look at Rob Lucci's merciless past.,"Sun, Apr 15, 2007",8.9
305,306,Maboroshi no Ningyo Arawaru? Usureyuku Ishiki no Naka de,"Franky protects Robin from Spandam's elephant sword and a mysterious mermaid appears and saves Sanji, Zono, Nami, Chopper and Usopp.","Sun, Apr 22, 2007",8.0
306,307,Houka ni Shizumu Shima! Franky Munen no Sakebi,Enies Lobby is raged by fire and Franky farewells his nakama. Luffy prepares his decisive attack against Rucchi.,"Sun, Apr 29, 2007",8.2
307,308,Luffy o Mate! Tamerai no Hashi no Shitou!,The Straw Hat Crew prepares to defend the ship at the Hesitation Bridge from the attack of the Marines. Luffy is fighting with Rucchi and he is running out of strength.,"Sun, May 6, 2007",9.0
308,309,Kobushi ni Kometa Omoi! Luffy Konshin no Gatling,"""Luffy Vs Lucci: The Final Round"". On the Hesitation Bridge, Zoro and rest of The Straw Hat Crew engage marines.","Sun, May 13, 2007",9.5
309,310,"Tomo, Umi yori Kitaru! Mugiwara Ichimi Saikyou no Kizuna","Luffy, after finally defeating Rob Lucci, is unable to move after his battle. The Franky Family, along with the Galley-La Company, Yokozuna, Oimo and Kashi are still alive after their Buster Call encounter. When all hope seems lost, the Straw Hats hear a familiar voice that tells them to jump into the sea; the voice belongs to the Going Merry.","Sun, May 20, 2007",9.1
310,311,Zen'in Dai Dasshutsu! Shousha no Michi wa Kaizoku no Tame ni,Monkey D. Luffy is a boy on a path to becoming the Pirate king.,"Sun, May 27, 2007",9.0
311,312,Arigatou Merry! Yuki ni Kemuru Wakare no Umi,The crew must finally say goodbye to their ship merry.,"Sun, Jun 3, 2007",9.6
312,313, Yaburareta Ansoku! Ai no Kobushi o Motsu Kaigun Chuujou,"Upon their return from Enies Lobby, the Straw Hats rest in Water 7, where their new ship is being built by Franky and the Galley-La Company. Suddenly, they are attacked by Marine Vice-Admiral Garp, whom Luffy calls Grandpa.","Sun, Jun 10, 2007",8.7
313,314,Saikyou no Kakei? Akasareta Luffy no Chichi!,"Revelations continue as Garp sheds light on Luffy's early childhood, the whereabouts of Shanks, and the identity of Luffy's father, Monkey D. Dragon. Meanwhile, two young marines, under the Vice-Admiral's command, have a joyful reunion with members of the Straw Hats.","Sun, Jun 17, 2007",9.1
314,315,Sono Na wa Shinsekai! Grand Line no Yukue,"While everybody is busy celebrating their huge victory at Enies Lobby, Robin is confronted by Aokiji.","Sun, Jun 24, 2007",8.2
315,316,Shanks Ugoku! Bousou Suru Jidai e no Kusabi,Shanks meets up with Whitebeard despite all the efforts made by the World Government to avoid it. His main reason for the meeting: a request to stop Ace from chasing after his former-crew mate Blackbeard.,"Sun, Jul 1, 2007",9.1
316,317,Yagara o Sagasu Shoujo! Mizu no Miyako Daisousasen,"While walking around Water 7, Luffy and Chopper meet a young girl named Abi, who's searching for her pet Aobire that has been missing during the Aqua Laguna incident.","Sun, Jul 8, 2007",6.2
317,318,Haha wa Tsuyoshi! Zoro no Dotabata Kaji Tetsudai,"After being denied from various Sword Shops to get Yubashiri repaired, Zoro is tricked into becoming the new ""Big Brother"" to the Family of Aunt.","Sun, Jul 15, 2007",6.1
318,319,Sanji Shougeki! Nazo no Jii-san to Gekiuma Ryouri,"While out shopping with Chimney, Sanji is persuaded by her to go to a good cook, whom she calls grandpa. The old man teaches Sanji the reason why his food tastes so good, salt which is produced by the Aqua Laguna.","Sun, Jul 22, 2007",6.6
319,320,Tsui ni Zen'in Shoukin Kubi! 6-okugoe no Ichimi!,"While Usopp plots to get back in the Straw Hat Pirates, Franky, Iceburg and the Galley-La foremen are hard at work putting the finishing touches on the new ship.","Sun, Aug 19, 2007",8.0
320,321,Umi o Nozomu Hyakujuu no Ou! Yume no Fune Doudou Kansei!,"Soon after Sanji, Nami, and Chopper complain and object their new bounties, the Straw Hat Pirates depart to see Iceburg and their new ship.","Sun, Aug 26, 2007",7.9
321,322,Saraba Itoshiki Kobun-tachi! Franky Tatsu,"Franky has chased his swim briefs to the Straw Hats' new ship , but still refuses to go with them, necessitating some extra...""persuasion"" from Robin and Iceburg .","Sun, Sep 2, 2007",8.0
322,323,Shukkou Mizu no Miyako! Otoko Usopp Kettou no Kejime,"The departure of the Straw Hats from Water 7 is hastened when Vice Admiral Garp, under watch from Aokiji, comes to attack them. Usopp has to do some soul-searching to realize what he really needs to do to rejoin the crew.","Sun, Sep 9, 2007",8.3
323,324,Meguru Tehaisho! Kokyou wa Odoru Fune wa Susumu!,The Thousand Sunny finally gets its name and the Straw Hat Pirates make their getaway from Vice Admiral Garp as their hometowns get word of their new bounties.,"Sun, Sep 16, 2007",8.1
324,325,Saikyou no Nouryoku! Ace o Osou Kurohige no Yami,"Three days before Luffy left Water 7, Ace finally catches up to Blackbeard on Banaro Island, but his attempt to fight him reveals Teach's darkest secret: the control of the Yami Yami no Mi, said to be the most evil of the Devil Fruits.","Sun, Sep 23, 2007",9.2
325,326,Nazo no Kaizoku Goikkou! Sunny-gou to Kiken na Wana,"After departing Water 7, the Straw Hats find a lone ship, badly damaged with no sail and flag. They decide to approach to check if everything is all right.","Sun, Oct 14, 2007",6.7
326,327,Sunny-gou Pinch! Unare Chousoku no Himitsu Mecha,"The Straw Hats find themselves surrounded by a fleet of Marine ships, which is actually a trap. They escape using the Soldier Dock System, with the tattered pirate ship in tow.","Sun, Oct 21, 2007",6.3
327,328,Shinsekai ni Shizumu Yume! Shitsui no Kaizoku Puzzle,"Trapped by moving icebergs, the Straw Hats try to figure a way out avoiding numerous dangers as the Bounty Hunters draw closer. The captain of the Phoenix Pirates, Puzzle awakens after Chopper's treatment.","Sun, Oct 28, 2007",6.4
328,329,Osoikuru Shikaku-tachi! Hyoujou Dai Battle Kaishi,"Using the Shark Submerge III, Nami and Franky find out that penguins are moving the icebergs. Afterwards, they are attacked by Hockera. Usopp and Sanji are knocked off the Thousand Sunny by an iceberg,","Sun, Nov 4, 2007",6.5
329,330,Dai Kusen Mugiwara Ichimi! Hata ni Kakeru Kaizoku Tamashii,"The fights continue with Luffy, distracted due to the lost flag, has initial trouble with Brindo, but the Phoenix Pirates help capture him.","Sun, Nov 11, 2007",6.3
330,331, Atsukurushisa Zenkai! Semaru Futago no Jiryoku Power,The fight against the Accino brothers continues while Zoro accidentally arrives to Lovely Land and meets Papa.,"Sun, Nov 18, 2007",6.4
331,332,Dai Konran no Yakata! Ikaru Don to Toraware no Ichimi,"Zoro, Nami, Sanji, Usopp and Franky gather in the ice cell where the Accino brothers left them. Robin manages Lil to get them coke and Franky sets them free. Luffy and Chopper head to Lovely land.","Sun, Nov 25, 2007",6.5
332,333,Fushichou Futatabi! Tomo ni Chikau Kaizokuki no Yume,"The crew decides to fool Luffy so they can recover the flag. Robin and Zoro go for it but Robin gets into trouble, while the Accino family is defeated. Don Accino goes mad when he sees his children beaten.","Sun, Dec 2, 2007",6.3
333,334,Atsu Atsu Choukessen! Luffy VS Shakunetsu no Don,The crew goes into the mansion to get the flag back while Luffy finds a way to fight Don Accino. Robin gives Lil hope.,"Sun, Dec 9, 2007",6.6
334,335,Shin Sekai de Matsu! Isamashiki Kaizoku to no Wakare,Luffy defeats Don Accino while the crew succeeds in the restoring of the flag before Luffy notices. Campaccino comes for revenge and the Straw Hat pirates farewell the Phoenix.,"Sun, Dec 16, 2007",6.6
335,336,Shutsudou Chopperman! Mamore Nagisa no TV-kyoku,The adventures of Chopperman the hero and his battle against evil Usodabada.,"Sun, Dec 23, 2007",5.2
336,337,Ma no Umi Totsunyuu! Kiri ni Ukabu Nazo no Gaikotsu,"The crew is surrounded by a dense fog and they meet skeleton Brook, who tells them his sad story.","Sun, Jan 6, 2008",8.2
337,338,Hito ni Aeta Yorokobi! Gaikotsu Shinshi no Shoutai,"Onboard the Thousand Sunny, Brook tells his story of being a musician before being killed. However, his spirit was able to reanimate his skeleton due to the power of the Yomi Yomi no Mi.","Sun, Jan 13, 2008",8.0
338,339,Kai Genshou Zokuzoku! Thriller Bark Jouriku,"After getting stranded at Thriller Bark, Chopper, Nami, and Usopp are chased by a three headed beast. Back on the boat, Luffy and the rest of the Straw Hats are terrorized by an unseen enemy!","Sun, Jan 20, 2008",7.6
339,340,Tensai to Yobareta Otoko! Hogback Arawaru!,"Chopper, Nami, and Usopp get scared out of their minds when they encounter a graveyard full of zombies! Meanwhile, the rest of the crew gets trapped in super creepy sea web!","Sun, Jan 27, 2008",7.5
340,341,Nami Dai Pinch! Zombie Yashiki to Toumei Ningen,"Nami, Usopp and Chopper meet Dr Hogback and they spend a crazy night in his castle. The rest of the crew is crossing the forest in order to rescue them.","Sun, Feb 3, 2008",7.7
341,342,Zombie no Nazo! Akumu no Hogback Kenkyuujo,"Escaping from the Surprise Zombies of the mansion, Nami, Chopper and Usopp discover the truth about Cindry's identity and Dr. Hogback's experiments before being approached by a mysterious samurai zombie with Brook's voice.","Sun, Feb 10, 2008",7.6
342,343,Sono Na wa Moriah! Kage o Nigiru Dai Kaizoku no Wana,"After beating the zombies, the Straw Hat Pirates learn that one of the Shichibukai, Gekko Moriah, has been stealing people's shadows and using them to revive zombies.","Sun, Feb 17, 2008",7.6
343,344,Zombie Song no Kyouen! Youchi no Kane wa Yami no Oto,"Usopp, Chopper, and Nami get trapped in a coffin after being slashed by a zombie samurai. Meanwhile, Luffy and the rest of the Straw Hats make short work of some haunted paintings!","Sun, Feb 24, 2008",7.5
344,345,Doubutsu Ippai? Perona no Wonder Garden,"After awakening the General Zombies, Absalom is accosted by Lola, a zombie warthog obsessed with making him her husband. After learning that he's chosen Nami to be his bride, Lola sets her sights on the navigator.","Sun, Mar 2, 2008",7.1
345,346,Kieru Mugiwara Ichimi! Arawareta Nazo no Kenshi!,"The three remaining Straw Hats are lured by Buhichuck into a room where they are forced to face an army of armored General Zombies, but are able to handle them until the zombies are joined by a strange swordsman named Jigoro.","Sun, Mar 9, 2008",7.6
346,347,Nokoru Kishidou! Nami o Mamoru Uragiri Zombie,"A penguin zombie starts acting an awful lot like Sanji, Nami continues running for her life, and Robin and Franky buy some time by blowing up a bridge!","Sun, Mar 16, 2008",7.5
347,348,Sora kara Sanjou! Kenkyou Hanauta wa Ano Otoko!,"Nami gives love advice to a zombie, Luffy finds himself face-to-face with Gecko Moria, and Robin gets caught in spooky spider web. Things look bleak for the Straw Hats until their skeleton friend lends a hand!","Sun, Mar 23, 2008",7.7
348,349,Luffy Kinkyuujitai! Saikyou no Kage no Ikisaki,"Brook strikes the final blow in his battle with the spider monkey, Gecko Moria's devious plan is revealed, and Luffy's escape attempt leads to the loss of something he can't live without!","Sun, Mar 30, 2008",7.8
349,350,Majin to Yobareta Senshi!! Oz Fukkatsu no Toki,"With Luffy's shadow, Moria and his followers head into the freezer holding his ultimate special zombie that he believes will help him gain power in the New World. At the same time Brook parts ways from Franky and Robin after giving further crucial advice regarding the zombies so he can go forth to defeat the zombie Ryuma and reclaiming his shadow from the samurai fencer.","Sun, Apr 20, 2008",7.8
350,351, 500-nenburi no Mezame!! Oars Kaigan!!,"Luffy's shadow is forced into the body of a monster, Usopp and Chopper get incinerated, and Nami is kidnapped by a zombie who wants to make her his wife!","Sun, Apr 27, 2008",7.6
351,352,Shinnen no Inochigoi!! Afro o Mamoru Brook,"Brook confronts Ryuma, recalling his time on Thriller Bark five years prior - and his first battle with Ryuma and how he lost to a zombie with his own shadow.","Sun, May 4, 2008",7.6
352,353,Otoko no Chikai wa Shinazu!! Tooi Sora de Matsu Tomo e,"Usopp, Chopper, Robin, and Franky return to the Thousand Sunny, discovering their ship had been ransacked but Luffy, Zoro, and Sanji returned to them without their shadows.","Sun, May 11, 2008",8.1
353,354,Kanarazu Ai ni Iku!! Brook to Yakusoku no Misaki,"Luffy, Usopp, Sanji, and Zoro tell the rest of the crew how they got to meet Laboon as they started their new journey, while Brook reflects on his promise to return to Laboon amidst his duel with Ryuma.","Sun, May 18, 2008",7.3
354,355,Meshi to Nami to Kage!! Luffy Ikari no Daihangeki,"Luffy sets out to regain his shadow and convince Brook to join the crew. Meanwhile, Sanji races to stop Nami's zombie wedding before it's too late!","Sun, May 25, 2008",7.7
355,356,Usopp Saikyou? Negative wa Makasetoke,Luffy continues to take on Moriah while Chopper and Robin remain behind to take on Hogback and his loyal zombie servants.,"Sun, Jun 1, 2008",7.7
356,357,General Zombie Shunsatsu!! Oars wa Bouken Kibun!!,"Usopp continues to stand up to Perona's Negative Hollows while wiping out Wild Zombies, while Brook is held at the mercy of Ryuma, who finally proves his superiority over the original by defeating the skeleton in battle before Zoro arrival.","Sun, Jun 8, 2008",7.8
357,358,Honoo no Knight Sanji!! Keritsubuse Itsuwari no Kyoshiki,"Luffy attempts to attack Gekko Moriah, but instead is forced to face his shadow clone: Doppelman, while Usopp continues to maneuver around the Wild Zombies to get to Perona only to now face Kumashi's wrath.","Sun, Jun 15, 2008",7.6
358,359,Suke Suke no Innen? Ubawareta Sanji no Yume,"Sanji finally gets to the chapel where Absalom is about to marry Nami, where he reveals his dreams. Usopp is still trying to catch the Ghost Princess, while Luffy can't get rid of Moria's shadow.","Sun, Jun 22, 2008",7.6
359,360,Tasukete Hero!? Teki wa Fujimi no Princess,"Usopp evades Kumashi and keeps chasing Perona, but she seems to be untouchable. Sogeking comes to help him and together they discover the Ghost Princess' weak point.","Sun, Jun 29, 2008",7.8
360,361,Perona Kyoufu!? Uso no U wa Usopp no U,Usopp defeats Perona using his negativeness and his lies. Sanji and Luffy's zombies finally surrender to Moria. Battle between Zoro and Brook's zombie seems to be through.,"Sun, Jul 6, 2008",7.8
361,362,Yane ni Mau Zangeki!! Kecchaku Zoro Tai Ryuuma,Zoro defeats Ryuma and the former samurai gives him his sword. Oz is approaching while Luffy can not find a way to attack Moria.,"Sun, Jul 13, 2008",8.1
362,363,Chopper Gekido!! Hogback Ma no Ijutsu,Dr Hogback tells Chopper how he met Cindri. Chopper goes mad and bids Cindry to rebel against her zombie nature. Robin fools Hogback so he makes Sanji and Zoro's zombies fall from the tower. Luffy finally faces Oz.,"Sun, Jul 20, 2008",7.6
363,364,Oz Hoeru!! Detekoi Mugiwara no Ichimi,"Moria's mansion is reduced to ruins as the zombie with Luffy's shadow stalks the Straw Hats! As the walls come tumbling down, Chopper puts the hurt on Hogback, and Nami vanishes right before Sanji's eyes!","Sun, Aug 3, 2008",7.3
364,365,Teki wa Luffy!! Saikyou Zombie Tai Mugiwara no Ichimi,"One by one, the Straw Hats attack Oars, but the monstrous zombie appears too powerful to be defeated. Luffy's got his sights set on Moria, but he'd better hurry if he wants to save his crew!","Sun, Aug 10, 2008",7.6
365,366,Taorero Absalom!! Nami Yuujou no Raigeki!!,Absalom is about to kiss Nami when she wakes up and suddenly Lola appears and pretends to fight Nami so she can escape. Absalom falls under Nami's lightning bolt while the rest of the straw hat crew is gathering to stop Oz.,"Sun, Aug 17, 2008",7.5
366,367,Ubae Down!! Hissatsu Mugiwara Docking?,"In order to fight Oz, Franky summons the docking strategy, but Robin won't cooperate. The crew must find a way to take down Oz all together. Perona's zombies find an unknown Kuma man in the Sunny.","Sat, Aug 23, 2008",8.0
367,368,Ashioto Naki Shuurai!! Nazo no Boumonsha: Boukun Kuma,Battle to knock down Oz continues and Luffy finally realizes he was pursuing Moria's shadow. Nami meets Kuma the tyrant.,"Sat, Aug 30, 2008",7.9
368,369,Oars Plus Moriah: Chikara to Zunou no Saikyou Gattai,Figth against Oz continues while Luffy is returning to the mansion yard. Kuma tells Moria about the new Shichibukai Blackbeard. Moria joins Oz and he demonstrate his intelligence. Brooks appears carrying salt.,"Sun, Sep 7, 2008",8.0
369,370,Gyakuten e no Hisaku: Nightmare Luffy Kenzan,Luffy is returning to the mansion when he is stopped by a group of shadowless survivors. The straw hat pirates are in trouble while Moria seems to be winning the battle. Nightmaere Luffy must come into action.,"Sun, Sep 14, 2008",8.0
370,371,"Kaimetsu, Mugiwara Ichimi: Kagekage no Chikara Zenkai","The crew makes its best to defeat the Special Zombie but they are overpowered by his force. Chopper finds a weak point when he deduces how Oz died. Only Zoro, Chopper and Nami are still standing.","Sun, Sep 21, 2008",8.1
371,372,Chouzetsu Battle Start! Luffy vs Luffy,100-shabow man Nightmare Luffy appears to save Nami and Usopp from certain death. He has only 10 minutes to defeat both Oz and Moria or otherwise the shadows will leave him. Kuma watches the battle in silence.,"Sun, Sep 28, 2008",9.0
372,373,"Kecchaku Semaru! Tatakikome, Todome no Ichigeki","Oz stands up once again just to feel the power of the whole straw hat pirates. He is defeated and now the crew must face the power of 1000-shadow man Gecko Moria, while the sunrise is approaching.","Sun, Oct 5, 2008",8.9
373,374,Karada ga Kieru! Akumu no Shima ni Sasu Asahi!,Luffy prepares his last attack against Moria and the shadows begin to abandon him. The first sun beams catch some pirates and the crew is running out of time. Final Gia Sado defeats Moria but it seems to be late.,"Sun, Oct 12, 2008",8.4
374,375,Owaranai Kiki! Mugiwara Ichimi Massatsu Shirei,All of Moriah's victims recover their shadows and celebrate regaining their ability to enter daylight.,"Sun, Oct 19, 2008",8.1
375,376,Subete o Hajiku: Kuma no Nikyunikyu no Chikara,"Zoro attempts to fight Kuma, yet all of his attacks are effortlessly repelled. Kuma reveals that he has eaten the Nikyu Nikyu no Mi, which enables him to repel attacks and air at very high speed.","Sun, Nov 9, 2008",9.1
376,377,Nakama no Itami wa Waga Itami: Zoro Kesshi no Tatakai,"Zoro tries to stop Kuma from killing Luffy and Kuma offers Zoro a deal, he can take away Luffy's pain but he has to implant it in Zoro instead. Kuma tells him that he could die from all the pain but Zoro accept the offer without hesitation.","Sun, Nov 16, 2008",9.6
377,378,Tooi Hi no Yakusoku: Kaizoku no Uta to Chiisana Kujira,"Hogback and Absalom escape Thriller Bark with the unconscious Moriah, and reveal that Blackbeard gained his status as a Shichibukai by defeating Ace.","Sun, Nov 23, 2008",8.2
378,379,Brook no Kako: Youki na Nakama Kanashiki Wakare,"Brook recalls his past, when the whale Laboon started following his pirate ship and befriended the crew.","Sun, Nov 30, 2008",8.0
379,380,Binks no Sake: Kako to Genzai o Tsunagu Uta,"Brook continues to tell the tale of the Rumbar Pirates' fateful journey into the Grand Line, and the decision he made at the end of his original life.","Sun, Dec 7, 2008",9.2
380,381,Arata na Nakama! Ongakuka Hanauta no Brook,"Brook pledges himself to the Straw Hat Pirates, becoming their ninth member, as the crew settles their affairs at Thriller Bark and continue their journey.","Sun, Dec 14, 2008",8.2
381,382,Noronoro no Kyoui: Gingitsune no Foxy Futatabi,"The Straw Hat Pirates are taking a vacation at Spa Island, but there, they encounter Foxy and his crew, who are pursuing two small girls: Lina and her older sister, Sayo.","Sun, Dec 21, 2008",6.3
382,383,Otakara Daisoudatsusen! Houkai! Spa Island Gou,"In order to rescue Lina's sister, the crew destroys the Spa Island and look for the hot cross which is the clue to make the gems of Lina's father.","Sun, Dec 28, 2008",6.3
383,384,Burukku daifuntou shin no nakama e no michisagashi?,"Brook tries to help his new nakamas because he fears that otherwise he will be dispensed, but Robin tell him her story of Water 7 and he recovers his confidence.","Sun, Jan 11, 2009",7.2
384,385,Idainaru kouro hanshuu toutatsu! Akai tuchi no tairiku,The Straw Hat Pirates are about to reach the Red Line but a terrible storm delays them. Log Pose is pointing downwards and the crew needs more information to get to Gyojin Island.,"Sun, Jan 18, 2009",7.5
385,386,Mugiwara ichimi nikushi Tetsukamen no Dubaru toujou,"Camie and Pappag introduce themselves to the Straw Hats, who then later find out that their fishman friend has been kidnapped by Iron Mask Duval and the Macro Gang.","Sun, Jan 25, 2009",7.5
386,387,Innen no saikai! Toraware no gyonin o sukudase,The mysterious Duval gets excited when the crew that rescued Camie turns out to be the Straw Hat Pirates.,"Sun, Feb 1, 2009",7.4
387,388,Higeki! Kamen ni kakusareta Dubaru no shinjitsu,"The Straw Hat Pirates do battle with the Flying Fish Riders and Macro Fishman Pirates. The stakes rise when Duval reveals himself, and exactly who his grudge is against: Sanji.","Sun, Feb 8, 2009",7.7
388,389, Sakuretsu! Sanîgou no chouhimitsu heiki gaonhou,Duval reveals that he was once a small-time bandit until Sanji's wanted poster came to light. Since then he hid his face with the iron mask until he could get revenge on Sanji.,"Sun, Feb 15, 2009",7.7
389,390, Gyojin-tou o Mezashite Jouriku: Sabaody Shotou,"With the Flying Fish Riders taken care of, the Straw Hats rest as Hatchan treats them to the promised takoyaki.","Sun, Feb 22, 2009",7.6
390,391,Bougyaku! Sabaody no Shihaisha Tenryuubito,"After landing on the Sabaody Archipelago, the Straw Hats begin searching for a man Hatchan knows who can coat their ship, so they can continue onto Fishman Island.","Sun, Mar 1, 2009",8.0
391,392,Arata na Rival Shuuketsu! 11-nin no Choushinsei,The Straw Hat Pirates fight and defeat some bounty hunters who want their bounty.,"Sun, Mar 8, 2009",8.3
392,393,Hyouteki wa Camie!! Semaru Hitosaraiya no Mashu,"Departing from Shakky's Rip-off Bar, Luffy's group attempt to search for Rayleigh but is distracted by the Sabaody Park. Zoro is disrespectful to Saint Charlos, causing him to be shot at.","Sun, Mar 15, 2009",8.0
393,394,Camie o Sukue: Shotou ni Nokoru Ankoku no Rekishi,"Duval and his crew arrive on the Archipelago and start gathering the Straw Hats up to bring them to the Human Auctioning House, where the kidnappers have brought Camie.","Sun, Mar 22, 2009",8.0
394,395,Time Limit: Human Auction Kaimaku,"The human auction finally begins, and it is only then that the Straw Hats discovered that their mermaid friend is being sold off at Grove 1.","Sun, Mar 29, 2009",8.2
395,396,Tekken Sakuretsu! Auction o Buttsubuse,"The auction continues, but Saint Charlos arrives and ruins the Straw Hats' plan to buy Camie back by placing an exorbitant bid on her.","Sun, Apr 12, 2009",9.5
396,397,Dai Panic! Auction Kaijou no Shitou,"After Luffy punches Charlos, the guards begin to attack the Straw Hats, and most of the observers, except for Charlos' family, Kid and Law's crews, evacuate.","Sun, Apr 19, 2009",9.3
397,398,Taishou Kizaru Ugoku! Souzen Sabaody Shotou,Sengoku dispatches Admiral Kizaru to defend the honor of the Celestial Dragons at Sabaody Archipelago.,"Sun, Apr 26, 2009",9.0
398,399,Houimou o Toppa Seyo! Kaigun Tai Sannin no Senchou,"Luffy, Law and Kid's crews join the fight and defeat the rest of the Marines outside the Auction House. The three captains promise to meet and fight in the New World.","Sun, May 3, 2009",9.0
399,400,Roger to Rayleigh: Kaizoku Ou to Sono Migiude,"Upon arriving back at Shakky's Bar, Silvers Rayleigh reveals to the Straw Hats that he was the first mate of the legendary Gol D. Roger and also reveals the truth about his crew's dismissal.","Sun, May 10, 2009",9.3
400,401,Kaihi Fukanou!? Taishou Kizaru no Kousoku no Keri,"Admiral Kizaru appears at the Archipelago and demonstrates his mysterious light abilities, before taking on the Supernova, Basil Hawkins, whilst Urouge and X Drake fight a Pacifista.","Sun, May 17, 2009",9.0
401,402, Attouteki! Kaigun no Sentou Heiki Pacifista,"The Straw Hat Pirates fight one of the Pacifistas, and while it does not have Kuma's Devil Fruit powers, it is still able to withstand their strongest attacks.","Sun, May 24, 2009",9.1
402,403,Saranaru Kyouteki Arawaru! Masakari Katsuida Sentoumaru,"The Straw Hat Pirates combine their strongest attacks to defeat the Pacifista, but are exhausted after the battle.","Sun, May 31, 2009",9.2
403,404,Taishou Kizuru no Moukou Mugiwara Ichimi Zettaizetsumei!,Usopp and Brook's attempt to attack Kizaru and save Zoro's life failed.,"Sun, Jun 7, 2009",9.5
404,405,Kesareta Nakama-tachi: Mugiwara Ichimi Saigo no Hi,Sentomaru reveals that Kuma has the ability to make people fly through the sky to far away places.,"Sun, Jun 14, 2009",9.6
405,406,Jidaigeki Tokubetsu Hen: Luffy Oyabun Futatabi Kenzan,"In an alternate universe set in Edo period Japan, the Mikoshi (portable shrine) race is about to take place, the winner of which receives Beli1,000,000, and Boss Luffy and his friends recruit Franky to build them a mikoshi.","Sun, Jun 21, 2009",5.8
406,407,Jidaigeki Tokubetsu Hen: Yabure! Thriller Shoukai no Wana,"Robin reveals Brook's past to Luffy and his friends, and decide to help him. Brook is captured by Thriller LTD, but Luffy and Zoro arrive to help him escape.","Sun, Jun 28, 2009",5.8
407,408,Jouriku! Danshi Kinsei no Shima Amazon Lily,"Having been hit by Kuma, Luffy is teleported to an unknown island.","Sun, Jul 5, 2009",7.7
408,409,Isoge! Nakama-tachi no Moto e: Nyougashima no Bouken,"It is revealed that Luffy is on Amazon Lily, an island populated entirely by the Kuja tribe of women warriors.","Sun, Jul 12, 2009",7.7
409,410,Minna Meromero! Kaizoku Jotei Hancock,"Luffy decides to leave the island, reunite with his crew and defeat the enemies who had overpowered them earlier, and is determined to borrow a ship.","Sun, Jul 19, 2009",7.8
